,Year,Percentage,Country,Activities
253,2017,60.2,RUSSIA,shopping
254,2017,31.3,AUSTRALIA,shopping
255,2017,33.8,NEW.ZEALAND,shopping
256,2017,55.3,SOUTH.AFRICA,shopping
257,2017,60.6,CENTRAL.ASIA,shopping
265,2018,80.6,SINGAPORE,shopping
266,2018,80.6,THAILAND,shopping
267,2018,74.5,INDONESIA,shopping
268,2018,79.2,BRUNEI,shopping
269,2018,90.4,PHILIPPINES,shopping
270,2018,83.8,VIETNAM,shopping
271,2018,88.6,CHINA,shopping
272,2018,82.9,JAPAN,shopping
273,2018,86.6,SOUTH.KOREA,shopping
274,2018,92,TAIWAN,shopping
275,2018,88,INDIA,shopping
276,2018,85.3,PAKISTAN,shopping
277,2018,92.8,SAUDI.ARABIA,shopping
278,2018,91.1,UNITED.ARAB.EMIRATES,shopping
279,2018,94.2,OMAN,shopping
280,2018,93.8,KUWAIT,shopping
281,2018,81.7,IRAN,shopping
282,2018,75.4,CANADA,shopping
283,2018,79,USA,shopping
284,2018,94.9,UNITED.KINGDOM,shopping
285,2018,84.2,IRELAND,shopping
286,2018,77.3,SWEDEN,shopping
287,2018,77.7,DENMARK,shopping
288,2018,79.3,FINLAND,shopping
289,2018,75.2,NORWAY,shopping
290,2018,82.2,ITALY,shopping
291,2018,80.2,SPAIN,shopping
292,2018,85.7,FRANCE,shopping
293,2018,82.7,BELGIUM,shopping
294,2018,83.7,NETHERLANDS,shopping
295,2018,77.8,GERMANY,shopping
296,2018,80.6,SWITZERLAND,shopping
297,2018,85.9,RUSSIA,shopping
298,2018,72.3,AUSTRALIA,shopping
299,2018,80.2,NEW.ZEALAND,shopping
300,2018,83.8,SOUTH.AFRICA,shopping
301,2018,89.1,CENTRAL.ASIA,shopping
309,2019,82.2,SINGAPORE,shopping
310,2019,68.9,THAILAND,shopping
311,2019,71.9,INDONESIA,shopping
312,2019,94.5,BRUNEI,shopping
313,2019,80,PHILIPPINES,shopping
314,2019,81.8,VIETNAM,shopping
315,2019,85.9,CHINA,shopping
316,2019,75.2,JAPAN,shopping
317,2019,93.1,SOUTH.KOREA,shopping
318,2019,82.3,TAIWAN,shopping
319,2019,84.1,INDIA,shopping
320,2019,79.5,PAKISTAN,shopping
321,2019,90.6,SAUDI.ARABIA,shopping
322,2019,86,UNITED.ARAB.EMIRATES,shopping
323,2019,88.2,OMAN,shopping
324,2019,96.7,KUWAIT,shopping
325,2019,72,IRAN,shopping
326,2019,54.7,CANADA,shopping
327,2019,62.1,USA,shopping
328,2019,69.1,UNITED.KINGDOM,shopping
329,2019,61.3,IRELAND,shopping
330,2019,66.4,SWEDEN,shopping
331,2019,65.3,DENMARK,shopping
332,2019,90.5,FINLAND,shopping
333,2019,85.5,NORWAY,shopping
334,2019,75.6,ITALY,shopping
335,2019,74.3,SPAIN,shopping
336,2019,76,FRANCE,shopping
337,2019,78.9,BELGIUM,shopping
338,2019,72.2,NETHERLANDS,shopping
339,2019,75,GERMANY,shopping
340,2019,75.3,SWITZERLAND,shopping
